127.0.0.1 - - [27/Feb/2024:20:47:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:47:33 +0530] "GET /webproject/NewFile.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:47:33 +0530] "GET /webproject/style.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:47:33 +0530] "GET /webproject/image.jpg HTTP/1.1" 200 96906
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:47:34 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:10 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:11 +0530] "GET /webproject/s123?t1=&t2= HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:11 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:13 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:18 +0530] "GET /webproject/NewFile.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:18 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:20 +0530] "GET /webproject/signup-page.html? HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:20 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:22 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:24 +0530] "GET /webproject/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:24 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:24 +0530] "GET /webproject/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:51:24 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:52:09 +0530] "GET /webproject/NewFile.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [27/Feb/2024:20:52:10 +0530] "GET /cart.json HTTP/1.1" 404 760
