127.0.0.1 - - [22/Mar/2024:17:44:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:17 +0530] "GET /onlineLibStore/home.html HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:17 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:17 +0530] "GET /onlineLibStore/one.png HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:17 +0530] "GET /onlineLibStore/two.jpg HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:17 +0530] "GET /onlineLibStore/three.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:17 +0530] "GET /onlineLibStore/four.jpg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:17 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:22 +0530] "GET /onlineLibStore/b1.jsp?b_id=1&image=one.png HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:22 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:22 +0530] "GET /onlineLibStore/one.png HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:22 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:29 +0530] "GET /onlineLibStore/S_login.html?b=issue HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:29 +0530] "GET /cart.json HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:59 +0530] "GET /onlineLibStore/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:17:44:59 +0530] "GET /onlineLibStore/style.css HTTP/1.1" 404 779
